Agemos,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
38.5,14.06756329,14.27221761,14.60172936,15.1952288,15.92695418,16.74919525,17.23418554,17.58230587,18.13057244,18.50924478
39.5,14.04132288,14.24510202,14.57316316,15.16391901,15.89202582,16.70988247,17.19212545,17.53819888,18.08311311,18.45937719
40.5,14.0158243,14.21868433,14.54526806,15.13337382,15.85824093,16.67250668,17.15266201,17.49725289,18.03986198,18.41455697
41.5,13.99107332,14.19297011,14.51804847,15.10359281,15.82558822,16.63703787,17.11575098,17.45941207,18.00074262,18.37469187
42.5,13.96707439,14.16796472,14.49150978,15.07457728,15.79405728,16.60344521,17.08134677,17.42461935,17.96567903,18.33969264
43.5,13.94382698,14.14367089,14.4656578,15.04633235,15.76364255,16.57170092,17.04940504,17.39281759,17.9345935,18.30946785
44.5,13.9213319,14.12009269,14.44049947,15.01886319,15.73433668,16.54177412,17.0198786,17.36394785,17.90741007,18.28393204
45.5,13.8995866,14.09723246,14.4160421,14.99217766,15.70613566,16.51363577,16.99272087,17.33795095,17.88405183,18.26299911
46.5,13.87858352,14.07508966,14.392293,14.96628719,15.67904062,16.48726082,16.96788739,17.31476822,17.86443983,18.24657949
47.5,13.85831582,14.05366443,14.36926,14.94120325,15.65305192,16.46262258,16.94533215,17.29433999,17.84849622,18.2345875
48.5,13.83877404,14.03295533,14.34695084,14.91693911,15.62817269,16.43969657,16.92501028,17.27660684,17.8361423,18.22693633
49.5,13.81994711,14.01295984,14.32537305,14.89350913,15.604408,16.41845985,16.90687779,17.26150966,17.82729891,18.22353875
50.5,13.80182253,13.99367445,14.30453377,14.87092845,15.58176458,16.39889119,16.89089179,17.24898984,17.8218865,18.22430691
51.5,13.78438667,13.97509464,14.2844396,14.84921259,15.56025067,16.38097113,16.87701073,17.23898952,17.81982523,18.22915216
52.5,13.76762605,13.95721572,14.26509665,14.82837662,15.5398746,16.36468088,16.86519374,17.23145142,17.82103559,18.23798637
53.5,13.75152248,13.94002947,14.24650943,14.80843749,15.52064993,16.3500079,16.85540483,17.22632105,17.82543578,18.25071444
54.5,13.73606368,13.92353116,14.22868271,14.7894083,15.50258427,16.33693462,16.8476049,17.22354286,17.83294744,18.26724918
55.5,13.72123322,13.90771281,14.21161954,14.77130343,15.48568973,16.32544946,16.84175987,17.22306443,17.84349028,18.28749643
56.5,13.70701599,13.89256678,14.19532216,14.75413556,15.46997718,16.31554106,16.8378366,17.22483458,17.85698505,18.31136265
57.5,13.69339739,13.87808525,14.1797919,14.73791599,15.45545692,16.30719914,16.83580365,17.22880383,17.87335318,18.33875356
58.5,13.68036242,13.86425959,14.16502885,14.72265501,15.44213961,16.30041561,16.83563223,17.23492502,17.89251642,18.36957256
59.5,13.66789962,13.85108308,14.15103287,14.70836004,15.43003207,16.29517994,16.83729272,17.24315148,17.91439894,18.40372671
60.5,13.65599683,13.83854804,14.13780261,14.69503764,15.41914163,16.29148397,16.84075838,17.25343909,17.93892524,18.44112021
61.5,13.64464353,13.82664746,14.1253362,14.68269244,15.40947356,16.28931904,16.84600319,17.26574515,17.96602144,18.48165813
62.5,13.63383056,13.81537489,14.11363117,14.67132735,15.40103139,16.28867619,16.85300198,17.28002846,17.99561523,18.52524599
63.5,13.62354907,13.8047237,14.10268433,14.66094403,15.39381785,16.28954723,16.86173124,17.29624981,18.02763543,18.57178832
64.5,13.61379452,13.79469004,14.09249299,14.65154144,15.38783094,16.29191982,16.87216519,17.31436954,18.06201396,18.62119533
65.5,13.60456106,13.78526882,14.08305345,14.64311821,15.38306945,16.29578396,16.88428085,17.33435063,18.09868317,18.67337395
66.5,13.595845,13.77645627,14.0743621,14.63567131,15.37952958,16.30112773,16.89805459,17.35615653,18.13757754,18.72823379
67.5,13.58764387,13.76824936,14.06641528,14.62919656,15.37720582,16.30793819,16.91346275,17.37975148,18.17863327,18.78568583
68.5,13.57995642,13.76064574,14.05920932,14.62368881,15.37609107,16.31620135,16.93048153,17.40510042,18.22178824,18.84564261
69.5,13.57278245,13.75364373,14.05274063,14.619142,15.37617677,16.32590217,16.94908693,17.43216882,18.26698191,18.90801826
70.5,13.56612272,13.7472423,14.04700569,14.61554938,15.37745304,16.33702456,16.96925461,17.46092258,18.31415529,18.97272855
71.5,13.55997887,13.74144099,14.04200114,14.6129036,15.37990886,16.34955145,16.99095993,17.49132795,18.36325085,19.03969094
72.5,13.55435329,13.73623987,14.03772376,14.61119682,15.38353217,16.36346484,17.01417786,17.52335144,18.41421242,19.10882456
73.5,13.54924901,13.73163946,14.03417051,14.61042085,15.38831005,16.37874588,17.03888299,17.55695978,18.46698511,19.18005024
74.5,13.54466964,13.72764072,14.03133851,14.61056719,15.39422883,16.39537493,17.06504953,17.59211982,18.52151524,19.25329044
75.5,13.54061839,13.72424433,14.02922475,14.61162737,15.40127496,16.41333266,17.09265223,17.62879914,18.57774996,19.32846782
