Date,Open,High,Low,Close,Volume,Adj Close
2006-05-22,79.83,80.34,79.40,80.02,6250900,68.60
2006-05-19,80.86,81.00,79.51,80.28,7019100,68.83
2006-05-18,80.50,81.35,80.03,80.66,5443600,69.15
2006-05-17,81.75,82.21,81.02,81.27,5936000,69.68
2006-05-16,83.00,83.25,82.07,82.16,4454800,70.44
2006-05-15,81.80,83.15,81.80,82.89,5776400,71.06
2006-05-12,82.47,83.69,82.30,82.39,5685700,70.64
2006-05-11,82.65,83.09,82.45,82.46,5274500,70.70
2006-05-10,82.90,83.33,82.60,82.90,3430400,71.07
2006-05-09,82.49,83.29,82.41,83.23,4072800,71.36
2006-05-08,82.60,83.22,82.30,82.89,3856500,71.06
2006-05-05,82.95,83.34,82.70,83.28,4504500,71.14
2006-05-04,82.87,83.09,82.40,82.43,3966900,70.41
2006-05-03,82.54,83.29,82.45,82.70,5721100,70.65
2006-05-02,82.11,82.74,82.00,82.42,4336400,70.41
2006-05-01,82.59,83.31,82.10,82.23,6011100,70.24
2006-04-28,83.51,83.62,81.98,82.34,8201800,70.34
2006-04-27,82.70,84.40,82.70,83.88,8174300,71.65
2006-04-26,82.84,83.48,82.71,83.35,6648800,71.20
2006-04-25,81.95,82.90,81.60,82.67,6856300,70.62
2006-04-24,81.30,82.41,81.10,82.11,6604100,70.14
2006-04-21,82.49,82.50,81.38,81.66,6117400,69.76
2006-04-20,81.65,82.85,81.64,82.02,6237200,70.06
2006-04-19,83.95,84.00,81.26,81.86,10554700,69.93
2006-04-18,81.89,83.53,81.70,83.31,7905800,71.17
2006-04-17,81.92,82.92,81.40,81.64,4634200,69.74
2006-04-13,81.18,82.60,81.12,81.98,4799700,70.03
2006-04-12,81.10,81.37,80.63,80.75,3905200,68.98
2006-04-11,81.83,82.06,80.75,81.16,5959700,69.33
2006-04-10,82.27,82.74,82.00,82.10,3627700,70.13
2006-04-07,83.60,83.80,82.44,82.48,5337500,70.46
2006-04-06,83.70,84.32,83.36,83.81,4944100,71.59
2006-04-05,83.33,84.45,83.32,84.17,5523900,71.90
2006-04-04,83.05,83.78,82.80,83.45,3853000,71.29
2006-04-03,82.72,83.59,82.65,83.06,4121600,70.95
2006-03-31,82.95,83.60,82.29,82.47,5862000,70.45
2006-03-30,82.88,83.70,82.83,83.20,4467000,71.07
2006-03-29,82.20,83.55,82.20,83.13,4392100,71.01
2006-03-28,82.86,83.39,82.29,82.43,4508600,70.41
2006-03-27,82.98,83.26,82.58,83.08,3910100,70.97
2006-03-24,82.99,83.72,82.99,83.36,4198800,71.21
2006-03-23,84.23,84.27,82.93,83.20,5105800,71.07
2006-03-22,83.35,84.68,83.35,84.45,4968600,72.14
2006-03-21,83.82,84.99,83.58,83.81,7404300,71.59
2006-03-20,83.11,83.75,82.99,83.58,3870300,71.40
2006-03-17,83.35,83.41,82.82,83.30,6414400,71.16
2006-03-16,83.43,83.72,82.61,82.87,4299500,70.79
2006-03-15,82.65,83.76,82.64,83.38,5370400,71.23
2006-03-14,81.51,82.99,81.47,82.88,4518000,70.80
2006-03-13,81.56,82.40,81.45,81.93,4571400,69.99
2006-03-10,81.03,82.25,81.03,81.57,4787200,69.68
2006-03-09,81.26,81.98,80.80,81.02,4310700,69.21
2006-03-08,80.25,81.60,80.25,81.14,5569900,69.31
2006-03-07,80.01,80.79,79.86,80.29,4330800,68.59
2006-03-06,79.91,80.64,79.90,80.00,4709500,68.34
2006-03-03,79.51,80.83,79.51,79.96,4354400,68.31
2006-03-02,79.55,80.21,79.54,79.94,4418800,68.29
2006-03-01,80.20,80.81,79.78,79.90,5172300,68.25
2006-02-28,80.10,80.55,79.71,80.24,5960700,68.54
2006-02-27,79.97,80.89,79.95,80.63,3787000,68.88
2006-02-24,80.65,80.65,79.85,80.10,3903200,68.42
2006-02-23,81.20,81.34,80.04,80.20,4979400,68.51
2006-02-22,80.00,81.65,79.97,81.35,5294300,69.49
2006-02-21,80.10,80.75,79.97,80.50,5838000,68.77
2006-02-17,80.91,81.03,80.13,80.71,5298800,68.95
2006-02-16,80.68,80.91,80.13,80.91,5310500,69.12
2006-02-15,80.86,81.50,80.50,80.85,5052000,69.07
2006-02-14,80.55,81.45,80.35,81.09,6075500,69.27
2006-02-13,81.33,81.91,80.18,80.44,5257400,68.72
2006-02-10,80.40,81.46,80.20,81.33,5371900,69.48
2006-02-09,80.40,80.80,79.50,80.40,7609200,68.68
2006-02-08,80.58,80.90,80.24,80.80,5029200,69.02
2006-02-07,79.50,80.19,79.30,79.85,5247300,68.04
2006-02-06,79.94,79.95,78.93,79.51,9568500,67.75
2006-02-03,80.55,80.77,79.72,79.97,9852000,68.14
2006-02-02,81.45,81.59,80.90,81.23,6198000,69.22
2006-02-01,80.90,82.24,80.65,81.94,5419300,69.82
2006-01-31,81.50,82.00,81.17,81.30,6771600,69.28
2006-01-30,80.21,81.81,80.21,81.63,5325100,69.56
2006-01-27,80.75,81.77,80.75,81.02,6103400,69.04
2006-01-26,81.50,81.65,80.59,80.72,7810200,68.78
2006-01-25,81.05,81.62,80.61,80.91,6374300,68.94
2006-01-24,81.39,82.15,80.80,80.85,6069000,68.89
2006-01-23,81.33,81.92,80.92,81.41,6114100,69.37
2006-01-20,83.04,83.05,81.25,81.36,8605800,69.33
2006-01-19,84.14,84.39,83.02,83.09,6483500,70.80
2006-01-18,84.00,84.70,83.52,83.80,10984800,71.41
2006-01-17,82.80,83.16,82.54,83.00,8718400,70.72
2006-01-13,83.00,83.45,82.50,83.17,6921600,70.87
2006-01-12,83.82,83.96,83.40,83.57,4924100,71.21
2006-01-11,84.37,84.81,83.40,84.17,5776400,71.72
2006-01-10,83.15,84.12,83.12,84.07,5700000,71.64
2006-01-09,83.90,84.25,83.38,83.73,6851100,71.35
2006-01-06,83.95,85.03,83.41,84.95,8196900,72.39
2006-01-05,81.40,82.90,81.25,82.50,7213400,70.30
2006-01-04,82.20,82.50,81.33,81.95,9832800,69.83
2006-01-03,82.45,82.55,80.81,82.06,11715100,69.92
2005-12-30,81.85,82.49,81.56,82.20,5449000,70.04
2005-12-29,82.80,83.06,82.22,82.40,3958400,70.21
2005-12-28,83.10,83.57,82.80,83.04,3836800,70.76
2005-12-27,83.48,84.50,82.89,82.99,4377800,70.72
2005-12-23,84.00,84.20,83.39,83.48,3616200,71.13
2005-12-22,82.61,83.23,82.30,83.22,6573600,70.91
2005-12-21,82.46,84.00,82.46,83.12,6846800,70.83
2005-12-20,82.95,83.10,82.06,82.48,5276200,70.28
2005-12-19,83.23,83.60,82.65,82.76,4985400,70.52
2005-12-16,83.89,84.00,83.00,83.37,7398200,71.04
2005-12-15,82.88,83.63,82.75,83.53,6155900,71.18
2005-12-14,83.65,83.95,82.95,83.13,7161800,70.84
2005-12-13,84.50,84.90,83.50,83.71,12545300,71.33
2005-12-12,87.01,87.35,85.76,85.96,6044100,73.25
2005-12-09,86.80,87.10,86.33,86.97,6461800,74.11
2005-12-08,88.57,88.91,86.67,87.50,5787000,74.56
2005-12-07,89.00,89.92,88.45,88.72,5284000,75.60
2005-12-06,88.56,89.84,88.56,89.14,4871500,75.96
2005-12-05,88.40,88.65,87.71,88.43,4023600,75.35
2005-12-02,89.00,89.15,88.36,88.65,4730500,75.54
2005-12-01,89.15,89.74,89.05,89.21,4668500,76.02
2005-11-30,89.05,89.64,88.73,88.90,6021500,75.75
2005-11-29,89.18,89.94,89.02,89.10,5147000,75.92
2005-11-28,88.80,89.43,88.75,89.11,5197900,75.93
2005-11-25,88.95,89.32,88.62,88.80,2199300,75.67
2005-11-23,88.12,89.39,87.95,88.80,5399300,75.67
2005-11-22,86.88,88.08,86.88,87.99,5786600,74.98
2005-11-21,87.60,87.87,87.01,87.29,4807900,74.38
2005-11-18,88.00,88.00,87.17,87.77,7985800,74.79
2005-11-17,86.18,86.98,85.76,86.89,5293600,74.04
2005-11-16,85.45,86.58,85.39,86.54,6694100,73.74
2005-11-15,84.03,85.90,84.03,85.53,6830800,72.88
2005-11-14,84.25,85.00,84.11,84.36,3915300,71.88
2005-11-11,84.20,84.84,84.15,84.55,4841300,72.05
2005-11-10,82.70,84.30,82.30,83.99,4732000,71.57
2005-11-09,82.71,83.33,82.49,82.84,3936200,70.59
2005-11-08,83.41,83.90,83.11,83.15,3798000,70.85
2005-11-07,83.10,83.85,83.07,83.61,4455100,71.07
2005-11-04,82.91,83.30,82.65,83.00,3831400,70.56
2005-11-03,81.55,83.03,81.31,82.87,7690900,70.44
2005-11-02,81.20,81.89,80.64,81.06,6447400,68.91
2005-11-01,81.85,82.15,81.29,81.59,5653100,69.36
2005-10-31,81.51,82.30,81.30,81.88,7531200,69.60
2005-10-28,82.32,82.43,80.50,81.42,6941300,69.21
2005-10-27,82.53,82.93,82.25,82.31,3705800,69.97
2005-10-26,82.97,83.87,82.72,82.89,4270800,70.46
2005-10-25,83.08,83.95,82.71,83.36,5393300,70.86
2005-10-24,83.15,83.61,82.60,83.47,5482200,70.95
2005-10-21,83.08,84.00,82.91,83.33,6020700,70.84
2005-10-20,84.00,84.19,82.88,83.17,5752700,70.70
2005-10-19,82.41,84.20,82.38,84.17,7502600,71.55
2005-10-18,84.33,84.60,83.35,83.48,12045300,70.96
2005-10-17,82.36,82.99,81.93,82.59,7964800,70.21
2005-10-14,82.60,82.71,81.60,82.35,5573700,70.00
2005-10-13,81.70,83.20,81.70,82.20,5530600,69.88
2005-10-12,82.75,82.93,81.95,82.19,7580800,69.87
2005-10-11,82.25,83.52,81.97,83.19,9781300,70.72
2005-10-10,81.24,82.10,81.08,81.25,7882900,69.07
2005-10-07,80.25,81.12,80.09,80.50,6130100,68.43
2005-10-06,79.82,80.27,78.70,79.70,8130200,67.75
2005-10-05,80.11,80.68,79.56,79.82,4998800,67.85
2005-10-04,80.65,81.47,79.93,80.11,6365100,68.10
2005-10-03,80.22,80.60,79.50,80.45,5297600,68.39
2005-09-30,80.02,80.50,79.97,80.22,5536500,68.19
2005-09-29,79.25,80.55,78.87,80.36,5899700,68.31
2005-09-28,78.06,79.73,78.06,79.50,7747700,67.58
2005-09-27,77.17,78.60,77.16,77.99,5499600,66.30
2005-09-26,78.31,78.41,76.93,77.41,5433200,65.80
2005-09-23,77.70,78.11,77.50,78.00,5434600,66.30
2005-09-22,77.56,78.50,77.30,78.21,6870400,66.48
2005-09-21,78.00,78.46,77.37,77.56,7126000,65.93
2005-09-20,79.27,79.65,78.63,78.70,7122300,66.90
2005-09-19,79.74,79.98,79.01,79.43,5148500,67.52
2005-09-16,80.38,80.50,79.83,80.33,7624900,68.29
2005-09-15,80.43,80.65,79.67,80.01,4864100,68.01
2005-09-14,80.75,81.40,80.42,80.48,3887700,68.41
2005-09-13,81.49,81.49,80.52,80.75,5040900,68.64
2005-09-12,81.03,82.11,81.00,81.48,3692800,69.26
2005-09-09,80.86,81.49,80.52,81.44,3982200,69.23
2005-09-08,81.28,81.52,80.50,80.80,4277300,68.69
2005-09-07,80.70,81.13,80.32,80.98,4116300,68.84
2005-09-06,79.70,81.19,79.70,81.02,6305500,68.87
2005-09-02,79.50,80.01,79.46,79.46,3680600,67.55
2005-09-01,80.16,80.32,79.34,79.54,6390600,67.61
2005-08-31,80.35,80.79,79.87,80.62,5400800,68.53
2005-08-30,81.00,81.00,79.98,80.54,5674200,68.46
2005-08-29,80.00,81.75,79.90,81.34,4025300,69.14
2005-08-26,80.81,81.02,80.26,80.38,5029300,68.33
2005-08-25,81.45,81.45,80.72,81.10,3606100,68.94
